tasks,utilization,gpu
29,0.025807499999999664,8
29,0.06719249999999913,9
29,0.06773499999999912,10
29,0.06688249999999912,11
29,0.06734749999999912,12
29,0.10392749999999867,13
29,0.0991999999999988,14
29,0.09919999999999878,15
29,0.09919999999999878,16
29,0.09888999999999884,17
29,0.040222499999999474,18
29,0.04029999999999949,19
29,0.04045499999999947,20
29,0.03998999999999949,21
29,0.07858499999999899,22
29,0.09919999999999873,23
29,0.09919999999999873,24
29,0.09919999999999873,25
29,0.09919999999999873,26
29,0.04649999999999942,27
29,0.04649999999999942,28
29,0.0464999999999994,29
29,0.045879999999999414,30
29,0.0471199999999994,31
29,0.04804999999999939,32
29,0.047739999999999394,33
29,0.0477399999999994,34
29,0.04773999999999939,35
29,0.01673999999999979,36
29,0.01673999999999979,37
29,0.01673999999999979,38
29,0.016739999999999783,39
29,0.014569999999999823,40
29,0.013019999999999855,41
29,0.013019999999999855,42
29,0.013019999999999858,43
29,0.01270999999999985,44
29,0.007594999999999901,45
29,0.007594999999999901,46
29,0.007594999999999901,47
29,0.007052499999999908,48
29,0.017204999999999835,49
29,0.021312499999999845,50
29,0.021467499999999848,51
29,0.021389999999999843,52
29,0.020924999999999843,53
29,0.03192999999999963,54
29,0.031619999999999635,55
29,0.03161999999999962,56
29,0.03161999999999962,57
29,0.022939999999999718,58
29,0.013949999999999818,59
29,0.013639999999999822,60
29,0.013639999999999822,61
29,0.013639999999999822,62
29,0.07625999999999905,63
29,0.07625999999999904,64
29,0.07625999999999904,65
29,0.07625999999999904,66
29,0.053629999999999324,67
29,0.030999999999999608,68
29,0.03099999999999961,69
29,0.03037999999999962,70
29,0.030379999999999612,71
29,0.015887499999999857,72
29,0.015577499999999845,73
29,0.015577499999999845,74
29,0.015577499999999845,75
29,0.015499999999999842,76
29,0.01270999999999985,77
29,0.012399999999999854,78
29,0.012399999999999838,79
29,0.012399999999999838,80
29,0.05672999999999927,81
29,0.05641999999999928,82
29,0.05641999999999926,83
29,0.05641999999999926,84
29,0.03750999999999951,85
29,0.01828999999999977,86
29,0.017979999999999767,87
29,0.017979999999999767,88
29,0.017979999999999767,89
29,0.009299999999999918,90
29,0.008989999999999922,91
29,0.008679999999999926,92
29,0.008679999999999926,93
29,0.012089999999999861,94
29,0.012012499999999843,95
29,0.012167499999999842,96
29,0.012399999999999838,97
29,0.012167499999999842,98
29,0.017979999999999774,99
29,0.017979999999999777,100
29,0.017669999999999776,101
29,0.017359999999999775,102
29,0.02386999999999969,103
29,0.030379999999999605,104
29,0.030379999999999605,105
29,0.030379999999999605,106
29,0.030379999999999605,107
29,0.013019999999999901,108
29,0.013019999999999834,109
29,0.01301999999999983,110
29,0.01301999999999983,111
29,0.014259999999999873,112
29,0.014259999999999877,113
29,0.014259999999999877,114
29,0.014259999999999877,115
29,0.013019999999999886,116
29,0.013019999999999877,117
29,0.01270999999999989,118
29,0.012399999999999894,119
29,0.003719999999999978,120
29,0.003719999999999979,121
29,0.0037199999999999655,122
